"latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_ti5","frp","daynight","type"
32.10965,74.17758,302.18,0.62,0.54,"2025-09-03",2015,"N","VIIRS","n",2,286.92,1.4,"N",0
32.0842,74.16132,303.3,0.38,0.59,"2025-09-04",2137,"N","VIIRS","n",2,290.86,0.19,"N",2
32.10427,74.17268,304.09,0.38,0.59,"2025-09-04",2137,"N","VIIRS","n",2,290.95,0.44,"N",2
32.29522,74.31585,303.98,0.38,0.59,"2025-09-04",2137,"N","VIIRS","n",2,290.28,0.74,"N",0
31.41284,76.8354,306.38,0.38,0.36,"2025-09-07",2041,"N","VIIRS","n",2,290.29,1.04,"N",0
32.08852,74.16025,305.49,0.47,0.64,"2025-09-09",2003,"N","VIIRS","n",2,288.79,1.17,"N",2
31.05216,74.88409,331.53,0.6,0.53,"2025-09-11",843,"N","VIIRS","n",2,294.51,3.93,"D",0
31.67879,73.96919,306.71,0.44,0.39,"2025-09-11",2106,"N","VIIRS","n",2,296.07,0.5,"N",0
32.05772,74.26514,310.22,0.45,0.39,"2025-09-11",2106,"N","VIIRS","n",2,294.69,0.87,"N",0
30.55372,73.83372,330.98,0.44,0.38,"2025-09-12",824,"N","VIIRS","n",2,300.47,2.21,"D",0
31.60966,74.40444,310.99,0.39,0.36,"2025-09-12",2047,"N","VIIRS","n",2,295.52,0.83,"N",2
31.64159,74.43493,306.54,0.39,0.36,"2025-09-12",2047,"N","VIIRS","n",2,294.35,0.5,"N",0
32.07711,74.19563,309.3,0.39,0.37,"2025-09-12",2047,"N","VIIRS","n",2,295.55,0.68,"N",0
32.10254,74.1735,307.12,0.4,0.37,"2025-09-12",2047,"N","VIIRS","n",2,295.64,0.6,"N",2
31.03543,74.41018,333,0.39,0.36,"2025-09-13",805,"N","VIIRS","n",2,298.29,3.25,"D",0
31.40821,75.97608,333.44,0.39,0.36,"2025-09-13",805,"N","VIIRS","n",2,296.11,2.15,"D",0
31.62191,75.03714,334.29,0.38,0.36,"2025-09-13",805,"N","VIIRS","n",2,295.69,5.57,"D",0
31.89325,73.83797,341.84,0.39,0.36,"2025-09-13",805,"N","VIIRS","n",2,303.04,5.11,"D",0
31.61646,74.37394,311.21,0.39,0.44,"2025-09-13",2028,"N","VIIRS","n",2,295.54,0.67,"N",2
29.90808,74.95088,309.25,0.52,0.42,"2025-09-13",2029,"N","VIIRS","n",2,292.75,1.4,"N",2
30.56037,73.9026,340.98,0.41,0.45,"2025-09-14",746,"N","VIIRS","n",2,299.01,5.01,"D",0
31.37509,74.54584,339.91,0.56,0.43,"2025-09-14",746,"N","VIIRS","n",2,300.65,6.09,"D",0
31.59687,74.8294,333.48,0.53,0.42,"2025-09-14",746,"N","VIIRS","n",2,301.19,3.18,"D",0
31.65366,75.03964,332.37,0.52,0.42,"2025-09-14",746,"N","VIIRS","n",2,300.4,9.19,"D",0
31.65471,75.04507,334.65,0.52,0.42,"2025-09-14",746,"N","VIIRS","n",2,299.51,11.13,"D",0
31.65743,75.03865,333.63,0.52,0.42,"2025-09-14",746,"N","VIIRS","n",2,298.52,4.5,"D",0
30.18406,76.35784,333.25,0.57,0.52,"2025-09-15",727,"N","VIIRS","n",2,294.67,5.42,"D",0
30.26047,76.25232,341.31,0.57,0.52,"2025-09-15",727,"N","VIIRS","n",2,295.5,8.07,"D",0
30.28059,76.25265,335.5,0.57,0.52,"2025-09-15",727,"N","VIIRS","n",2,295.01,7.09,"D",0
31.55112,74.83201,333.37,0.32,0.55,"2025-09-15",728,"N","VIIRS","n",2,295.57,2.49,"D",0
30.72978,74.0463,332.45,0.63,0.72,"2025-09-15",908,"N","VIIRS","n",2,293.47,4.23,"D",0
31.72731,74.9241,328.99,0.72,0.76,"2025-09-15",908,"N","VIIRS","n",2,291.07,6.67,"D",0
31.73054,74.92827,329.88,0.72,0.76,"2025-09-15",908,"N","VIIRS","n",2,291.5,7.74,"D",0
31.70395,74.97316,337.72,0.58,0.7,"2025-09-16",709,"N","VIIRS","n",2,290.37,7.02,"D",0
29.79005,76.13591,342.65,0.43,0.62,"2025-09-16",849,"N","VIIRS","n",2,293.12,4.77,"D",0
29.79081,76.13441,346.08,0.43,0.62,"2025-09-16",849,"N","VIIRS","n",2,293.18,5.66,"D",0
30.30831,76.29897,329,0.44,0.63,"2025-09-16",849,"N","VIIRS","n",2,290.93,2.44,"D",0
30.31943,76.21304,335.72,0.44,0.62,"2025-09-16",849,"N","VIIRS","n",2,291.08,6.41,"D",0
30.31972,76.21774,345.85,0.44,0.62,"2025-09-16",849,"N","VIIRS","n",2,291.67,9.39,"D",0
30.32044,76.21748,355.31,0.44,0.62,"2025-09-16",849,"N","VIIRS","n",2,291.65,9.45,"D",0
30.9938,74.22009,333.65,0.34,0.56,"2025-09-16",849,"N","VIIRS","n",2,294.33,4.05,"D",0
31.5568,74.92834,329.82,0.38,0.59,"2025-09-16",849,"N","VIIRS","n",2,292.98,2.14,"D",0
31.58599,75.189,367,0.39,0.6,"2025-09-16",849,"N","VIIRS","h",2,293.18,8.99,"D",0
31.58628,75.19321,341.03,0.39,0.6,"2025-09-16",849,"N","VIIRS","n",2,292.63,11.08,"D",0
31.58884,74.83984,345.11,0.37,0.58,"2025-09-16",849,"N","VIIRS","n",2,294.17,2.24,"D",0
31.59035,74.83961,347.7,0.38,0.58,"2025-09-16",849,"N","VIIRS","n",2,294.44,3.69,"D",0
31.60136,75.0904,342.91,0.39,0.59,"2025-09-16",849,"N","VIIRS","n",2,292.75,5.26,"D",0
31.60243,75.02758,332.79,0.38,0.59,"2025-09-16",849,"N","VIIRS","n",2,293.5,1.35,"D",0
31.60276,75.02768,335.33,0.38,0.59,"2025-09-16",849,"N","VIIRS","n",2,293.43,2.04,"D",0
31.62012,75.04272,354.9,0.39,0.59,"2025-09-16",849,"N","VIIRS","n",2,293.61,6.15,"D",0
31.62034,75.04278,354.89,0.39,0.59,"2025-09-16",849,"N","VIIRS","n",2,293.68,5.37,"D",0
31.66028,75.06012,354.12,0.39,0.59,"2025-09-16",849,"N","VIIRS","n",2,293.38,12.35,"D",0
31.66057,75.06429,367,0.39,0.59,"2025-09-16",849,"N","VIIRS","h",2,294.56,12.35,"D",0
30.77141,73.80819,333.07,0.52,0.41,"2025-09-17",830,"N","VIIRS","n",2,298.95,2.58,"D",0
31.41146,75.89497,331.24,0.45,0.47,"2025-09-17",830,"N","VIIRS","n",2,296.52,3.21,"D",0
31.44165,74.54343,337.4,0.38,0.43,"2025-09-17",830,"N","VIIRS","n",2,297.91,2.23,"D",0
31.44566,74.54285,341.07,0.38,0.43,"2025-09-17",830,"N","VIIRS","n",2,297.78,3.39,"D",0
31.47985,74.78434,330.54,0.39,0.44,"2025-09-17",830,"N","VIIRS","n",2,297.57,3.24,"D",0
31.51176,74.62427,342.51,0.39,0.44,"2025-09-17",830,"N","VIIRS","n",2,298.51,9.38,"D",0
